Development_Status_Origin,Use,Region_Destination,Development_Status_Destination,Value
LDC,Dual benefit,Sub-Saharan Africa,LDC,0
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00001
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.00045
EMDE,Mitigation,Central Asia & Eastern Europe,Advanced,0.08254
LDC,Mitigation,South Asia,LDC,0.14729
LDC,Mitigation,East Asia & Pacific,LDC,0.00576
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.01241
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00003
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00055
China,Mitigation,East Asia & Pacific,China,17.96147
Advanced,Mitigation,US & Canada,Advanced,0.00045
Transregional,Mitigation,Sub-Saharan Africa,LDC,0.01241
Advanced,Mitigation,US & Canada,Advanced,0.16299
Advanced,Mitigation,Western Europe,Advanced,0.00253
China,Mitigation,Latin America & Caribbean,EMDE,0.00001
China,Mitigation,South Asia,LDC,0.00116
EMDE,Mitigation,South Asia,EMDE,0.0011
EMDE,Dual benefit,South Asia,EMDE,0.00153
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00065
EMDE,Dual benefit,Central Asia & Eastern Europe,EMDE,0.0596
Advanced,Dual benefit,Sub-Saharan Africa,Advanced,0
Advanced,Dual benefit,East Asia & Pacific,LDC,0.00005
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00011
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00004
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.22269
China,Mitigation,Middle East & North Africa,EMDE,0
LDC,Dual benefit,Latin America & Caribbean,EMDE,0
China,Adaptation,Latin America & Caribbean,EMDE,0.00535
China,Adaptation,Middle East & North Africa,LDC,0.00008
Advanced,Adaptation,East Asia & Pacific,China,0.00477
China,Adaptation,East Asia & Pacific,LDC,0.00008
LDC,Adaptation,Sub-Saharan Africa,LDC,0.00249
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.0065
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00021
EMDE,Adaptation,Middle East & North Africa,EMDE,0.00019
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.04408
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0.00008
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.0004
China,Adaptation,Central Asia & Eastern Europe,EMDE,0
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00001
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.0001
China,Adaptation,Sub-Saharan Africa,EMDE,0.00014
Advanced,Adaptation,East Asia & Pacific,EMDE,0.01761
Advanced,Mitigation,Unknown,Transregional,0.04055
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.0323
Advanced,Mitigation,Sub-Saharan Africa,LDC,0
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00003
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Adaptation,Other Oceania,Advanced,0.00035
Transregional,Dual benefit,Transregional,LDC,0.00012
EMDE,Dual benefit,East Asia & Pacific,Advanced,0.00004
Advanced,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Mitigation,South Asia,EMDE,0.00005
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00006
China,Mitigation,Middle East & North Africa,EMDE,0.00254
LDC,Mitigation,South Asia,EMDE,0
EMDE,Dual benefit,East Asia & Pacific,EMDE,0.00064
Advanced,Dual benefit,East Asia & Pacific,LDC,0.01739
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00022
Advanced,Mitigation,South Asia,EMDE,0
China,Mitigation,South Asia,EMDE,0
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.01754
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.03146
Advanced,Mitigation,Latin America & Caribbean,LDC,0
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00075
EMDE,Mitigation,South Asia,EMDE,0.00007
Advanced,Mitigation,East Asia & Pacific,EMDE,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.08398
EMDE,Mitigation,East Asia & Pacific,LDC,0.00004
Advanced,Mitigation,South Asia,LDC,0.28972
LDC,Mitigation,Central Asia & Eastern Europe,EMDE,0.00112
Advanced,Mitigation,Sub-Saharan Africa,LDC,0
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.00828
Advanced,Dual benefit,US & Canada,Advanced,0.13529
Advanced,Mitigation,East Asia & Pacific,LDC,0.00001
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.00021
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.0005
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00807
Transregional,Mitigation,Latin America & Caribbean,EMDE,0.00001
Transregional,Dual benefit,Sub-Saharan Africa,LDC,0.0034
Transregional,Dual benefit,East Asia & Pacific,EMDE,0.00032
Advanced,Mitigation,US & Canada,Advanced,0.00001
Advanced,Mitigation,Other Oceania,Advanced,0
Advanced,Adaptation,South Asia,EMDE,0
Advanced,Adaptation,Latin America & Caribbean,LDC,0
LDC,Adaptation,East Asia & Pacific,Advanced,0.00001
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.0004
Advanced,Adaptation,South Asia,LDC,0.00033
Advanced,Adaptation,Latin America & Caribbean,Advanced,0.00006
China,Adaptation,Central Asia & Eastern Europe,EMDE,0.0005
LDC,Adaptation,Central Asia & Eastern Europe,EMDE,0.00001
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.0006
Advanced,Adaptation,South Asia,EMDE,0.05814
LDC,Adaptation,Middle East & North Africa,LDC,0.00018
Transregional,Adaptation,East Asia & Pacific,EMDE,0.00001
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.01544
Advanced,Adaptation,Sub-Saharan Africa,LDC,0
LDC,Adaptation,South Asia,EMDE,0.00023
EMDE,Adaptation,South Asia,EMDE,0
Unknown,Adaptation,Central Asia & Eastern Europe,EMDE,0.00466
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0
China,Adaptation,Sub-Saharan Africa,EMDE,0.00001
Advanced,Adaptation,South Asia,LDC,0.00001
EMDE,Dual benefit,Latin America & Caribbean,Advanced,0
Advanced,Dual benefit,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Western Europe,Advanced,0.00341
Advanced,Dual benefit,Latin America & Caribbean,Advanced,0
Advanced,Dual benefit,Transregional,Advanced,0.00004
Advanced,Mitigation,Transregional,EMDE,0.00566
LDC,Mitigation,Transregional,LDC,0.00073
Advanced,Mitigation,Transregional,Advanced,0.00003
LDC,Mitigation,Transregional,LDC,0.00001
Advanced,Mitigation,Transregional,Advanced,0.00001
Advanced,Adaptation,Transregional,EMDE,0.00045
China,Dual benefit,Latin America & Caribbean,EMDE,0.00004
Advanced,Mitigation,East Asia & Pacific,China,0.00012
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.17271
Advanced,Dual benefit,South Asia,LDC,0.00063
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.06699
China,Mitigation,South Asia,EMDE,0.00505
Advanced,Dual benefit,East Asia & Pacific,China,0.00008
LDC,Mitigation,Middle East & North Africa,EMDE,0
Advanced,Mitigation,South Asia,EMDE,0.00007
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.56859
Advanced,Mitigation,Western Europe,Advanced,0.00488
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00621
EMDE,Mitigation,Western Europe,Advanced,0.00702
LDC,Mitigation,East Asia & Pacific,LDC,0.06068
EMDE,Mitigation,East Asia & Pacific,EMDE,0.00284
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.41377
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.17485
China,Dual benefit,Sub-Saharan Africa,EMDE,0.00058
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.05407
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00235
Advanced,Mitigation,Western Europe,Advanced,0
Advanced,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00001
Advanced,Mitigation,Western Europe,Advanced,0.00001
Advanced,Mitigation,South Asia,EMDE,0.00446
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.14326
China,Mitigation,East Asia & Pacific,EMDE,0
Advanced,Adaptation,Western Europe,Advanced,0.19951
Advanced,Adaptation,East Asia & Pacific,Advanced,0.17775
Advanced,Adaptation,East Asia & Pacific,LDC,0
Advanced,Adaptation,East Asia & Pacific,China,0.00025
EMDE,Adaptation,South Asia,EMDE,0.01565
Advanced,Adaptation,Latin America & Caribbean,EMDE,0
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Adaptation,Latin America & Caribbean,LDC,0.00001
LDC,Adaptation,Sub-Saharan Africa,LDC,0.00022
Transregional,Adaptation,Middle East & North Africa,EMDE,0.00002
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.0035
China,Adaptation,Latin America & Caribbean,EMDE,0
LDC,Adaptation,South Asia,EMDE,0.0002
Advanced,Adaptation,Western Europe,Advanced,0.00003
Advanced,Adaptation,East Asia & Pacific,China,0.0013
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00396
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00023
Advanced,Adaptation,South Asia,EMDE,0.00241
China,Adaptation,Central Asia & Eastern Europe,EMDE,0.00018
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00053
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00003
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0
LDC,Adaptation,Sub-Saharan Africa,LDC,0
Advanced,Dual benefit,Latin America & Caribbean,Advanced,0
EMDE,Mitigation,Transregional,LDC,0.02357
Advanced,Mitigation,Transregional,EMDE,0.00001
China,Mitigation,Transregional,EMDE,0.00001
Advanced,Dual benefit,Transregional,LDC,0.00385
LDC,Adaptation,Transregional,LDC,0.00137
Advanced,Adaptation,Transregional,LDC,0.00009
Advanced,Mitigation,East Asia & Pacific,China,0
Advanced,Mitigation,East Asia & Pacific,LDC,0.0001
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00002
EMDE,Mitigation,Latin America & Caribbean,EMDE,0
EMDE,Dual benefit,East Asia & Pacific,LDC,0.01097
LDC,Dual benefit,Latin America & Caribbean,EMDE,0.00146
EMDE,Mitigation,South Asia,EMDE,0.0012
China,Mitigation,Latin America & Caribbean,EMDE,0.01006
EMDE,Mitigation,Central Asia & Eastern Europe,Advanced,0.00023
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.04399
Advanced,Mitigation,US & Canada,Advanced,0.00089
Advanced,Mitigation,East Asia & Pacific,China,0.00004
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.03536
EMDE,Mitigation,Middle East & North Africa,EMDE,0.01985
China,Mitigation,East Asia & Pacific,EMDE,0.04455
LDC,Mitigation,East Asia & Pacific,LDC,0.07639
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00214
Advanced,Mitigation,Middle East & North Africa,EMDE,0.00075
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.00086
China,Mitigation,Middle East & North Africa,EMDE,0.00217
LDC,Mitigation,Sub-Saharan Africa,EMDE,0.00757
Advanced,Mitigation,Sub-Saharan Africa,LDC,0
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00131
China,Dual benefit,South Asia,LDC,0.01877
LDC,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00038
Advanced,Mitigation,East Asia & Pacific,Advanced,0.00021
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00071
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00114
Advanced,Mitigation,Middle East & North Africa,EMDE,0.00055
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.13346
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.6736
Advanced,Dual benefit,Western Europe,Advanced,0.05068
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.01329
LDC,Dual benefit,South Asia,EMDE,0
Advanced,Mitigation,Western Europe,Advanced,0.0634
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.03687
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00017
China,Adaptation,Middle East & North Africa,EMDE,0.00276
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00038
Advanced,Adaptation,East Asia & Pacific,LDC,0.02137
EMDE,Adaptation,South Asia,EMDE,0.00426
LDC,Adaptation,South Asia,EMDE,0.00013
LDC,Adaptation,Sub-Saharan Africa,LDC,0.00001
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0
LDC,Mitigation,South Asia,LDC,0
EMDE,Mitigation,Central Asia & Eastern Europe,Advanced,0.00015
EMDE,Mitigation,Sub-Saharan Africa,LDC,0
EMDE,Dual benefit,Latin America & Caribbean,Advanced,0
Advanced,Dual benefit,Western Europe,Advanced,0.00348
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Transregional,EMDE,0.04429
Advanced,Dual benefit,Transregional,Advanced,0.00001
China,Mitigation,Transregional,EMDE,0.05875
Transregional,Mitigation,Transregional,EMDE,0.00028
Advanced,Mitigation,Transregional,LDC,0.00702
Advanced,Dual benefit,Transregional,EMDE,0.03015
EMDE,Dual benefit,Transregional,LDC,0.00015
Advanced,Adaptation,Transregional,Advanced,0.00004
Advanced,Adaptation,Transregional,Advanced,0.02698
Advanced,Adaptation,Transregional,EMDE,0.00129
Advanced,Dual benefit,East Asia & Pacific,China,0.00523
Advanced,Dual benefit,South Asia,EMDE,0.11097
EMDE,Mitigation,East Asia & Pacific,LDC,0.00001
EMDE,Dual benefit,Sub-Saharan Africa,EMDE,0.00048
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.0003
Advanced,Mitigation,South Asia,LDC,0.00026
Advanced,Mitigation,Middle East & North Africa,Advanced,0.00071
Advanced,Mitigation,East Asia & Pacific,China,0.00001
Advanced,Mitigation,Middle East & North Africa,EMDE,0.011
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.0004
China,Mitigation,East Asia & Pacific,LDC,0.00773
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.0625
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.00151
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.03429
Advanced,Dual benefit,East Asia & Pacific,Advanced,0.00012
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
China,Dual benefit,East Asia & Pacific,LDC,0.00001
Transregional,Dual benefit,Latin America & Caribbean,EMDE,0.00006
Advanced,Mitigation,South Asia,EMDE,0.0003
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00051
Advanced,Dual benefit,East Asia & Pacific,LDC,0.00542
LDC,Mitigation,Sub-Saharan Africa,LDC,0.00001
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00141
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00307
Advanced,Mitigation,US & Canada,Advanced,0.00744
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00003
EMDE,Adaptation,Middle East & North Africa,EMDE,0.00041
LDC,Adaptation,Latin America & Caribbean,EMDE,0.00068
China,Adaptation,South Asia,EMDE,0.00805
Advanced,Adaptation,South Asia,LDC,0.00011
China,Adaptation,Latin America & Caribbean,EMDE,0.02323
LDC,Adaptation,Sub-Saharan Africa,LDC,0.00007
LDC,Adaptation,Latin America & Caribbean,LDC,0.00002
EMDE,Adaptation,South Asia,EMDE,0.00253
Unknown,Adaptation,Sub-Saharan Africa,LDC,0.0006
Advanced,Dual benefit,Western Europe,Advanced,0.04033
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.0004
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.00001
LDC,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00085
Advanced,Dual benefit,Latin America & Caribbean,LDC,0.00006
EMDE,Mitigation,Other Oceania,Advanced,0
EMDE,Dual benefit,Transregional,EMDE,0.00005
Advanced,Dual benefit,Transregional,Advanced,0
EMDE,Dual benefit,Transregional,EMDE,0.00013
Advanced,Dual benefit,Transregional,LDC,0
LDC,Mitigation,Transregional,LDC,0.00047
Advanced,Mitigation,Transregional,LDC,0.00001
Transregional,Mitigation,Transregional,LDC,0.00008
Advanced,Adaptation,Transregional,EMDE,0.00162
EMDE,Adaptation,Transregional,EMDE,0.00011
Advanced,Mitigation,Western Europe,Advanced,0.00043
Advanced,Mitigation,Western Europe,Advanced,0.00112
Advanced,Mitigation,Middle East & North Africa,EMDE,0.00521
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00017
Transregional,Mitigation,South Asia,LDC,0.00005
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00022
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00741
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00459
Advanced,Mitigation,US & Canada,Advanced,0.39017
LDC,Mitigation,East Asia & Pacific,LDC,0.00103
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.18875
LDC,Mitigation,Sub-Saharan Africa,LDC,0.00112
EMDE,Mitigation,South Asia,EMDE,7.3915
Advanced,Mitigation,Western Europe,Advanced,0.00034
EMDE,Mitigation,South Asia,EMDE,8.51214
Unknown,Mitigation,Sub-Saharan Africa,LDC,0.01547
EMDE,Mitigation,Middle East & North Africa,Advanced,0.00875
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.10367
EMDE,Mitigation,South Asia,EMDE,3.3479
Transregional,Mitigation,Other Oceania,Advanced,0.05507
Transregional,Mitigation,Sub-Saharan Africa,EMDE,0.00884
Advanced,Mitigation,East Asia & Pacific,China,0.00004
Advanced,Mitigation,South Asia,EMDE,0.00741
LDC,Dual benefit,Sub-Saharan Africa,EMDE,0.00588
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00008
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00001
LDC,Mitigation,South Asia,EMDE,0
EMDE,Mitigation,South Asia,LDC,0.0001
Advanced,Mitigation,South Asia,LDC,0.00345
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00097
China,Mitigation,Middle East & North Africa,EMDE,0
Advanced,Mitigation,South Asia,EMDE,0.00964
Advanced,Mitigation,US & Canada,Advanced,0.00775
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00037
LDC,Mitigation,Sub-Saharan Africa,EMDE,0.00001
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00004
EMDE,Mitigation,East Asia & Pacific,EMDE,0.00045
China,Mitigation,Latin America & Caribbean,LDC,0
LDC,Mitigation,Central Asia & Eastern Europe,EMDE,0.00093
EMDE,Adaptation,East Asia & Pacific,Advanced,0.00009
LDC,Adaptation,East Asia & Pacific,LDC,0.00006
Advanced,Adaptation,Middle East & North Africa,EMDE,0.15769
Advanced,Adaptation,East Asia & Pacific,EMDE,0.31493
China,Adaptation,Sub-Saharan Africa,EMDE,0.03186
LDC,Adaptation,South Asia,EMDE,0.00127
China,Adaptation,Sub-Saharan Africa,LDC,0.00026
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.00437
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.00001
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.00002
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00001
China,Adaptation,South Asia,EMDE,0
China,Adaptation,Latin America & Caribbean,EMDE,0.00159
Advanced,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.0103
Transregional,Adaptation,Sub-Saharan Africa,EMDE,0.00001
Advanced,Adaptation,East Asia & Pacific,Advanced,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00004
Advanced,Dual benefit,Transregional,EMDE,0.00029
Transregional,Mitigation,Transregional,EMDE,0
EMDE,Mitigation,Transregional,LDC,0.00044
EMDE,Mitigation,Transregional,EMDE,0.06893
Advanced,Mitigation,Transregional,Advanced,0.00174
Advanced,Mitigation,Western Europe,Advanced,0.00012
Advanced,Dual benefit,Latin America & Caribbean,LDC,0.0003
Advanced,Dual benefit,Sub-Saharan Africa,Advanced,0.00052
Advanced,Dual benefit,East Asia & Pacific,China,0.00338
Advanced,Dual benefit,South Asia,EMDE,0.03008
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00019
China,Mitigation,Sub-Saharan Africa,EMDE,0.00042
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00376
EMDE,Mitigation,Latin America & Caribbean,LDC,0
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00035
Advanced,Mitigation,Middle East & North Africa,EMDE,0
Advanced,Mitigation,Middle East & North Africa,EMDE,0.00004
China,Mitigation,Central Asia & Eastern Europe,EMDE,0
Advanced,Mitigation,Latin America & Caribbean,Advanced,0.26652
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,6.31263
Advanced,Mitigation,South Asia,EMDE,0.0336
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00001
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.06125
LDC,Mitigation,Central Asia & Eastern Europe,EMDE,0.00044
Advanced,Mitigation,Latin America & Caribbean,EMDE,1.43123
Advanced,Mitigation,East Asia & Pacific,Advanced,0.43262
EMDE,Mitigation,South Asia,EMDE,0.00014
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.01019
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.0001
Advanced,Mitigation,East Asia & Pacific,EMDE,0.01369
EMDE,Mitigation,South Asia,LDC,0.00065
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00658
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00214
Advanced,Mitigation,Western Europe,Advanced,0.01565
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.08481
Advanced,Dual benefit,South Asia,EMDE,0.0012
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.02649
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00284
Advanced,Mitigation,Middle East & North Africa,EMDE,0.01321
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00012
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00001
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00198
Advanced,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00014
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.0893
EMDE,Dual benefit,South Asia,LDC,0.13194
LDC,Mitigation,Sub-Saharan Africa,LDC,0
Advanced,Mitigation,Western Europe,Advanced,11.06251
Advanced,Mitigation,US & Canada,Advanced,0.01961
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00029
LDC,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00003
Advanced,Adaptation,East Asia & Pacific,Advanced,0.04325
Advanced,Adaptation,South Asia,EMDE,0.00009
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.033
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00749
EMDE,Adaptation,South Asia,LDC,0.00985
Advanced,Adaptation,East Asia & Pacific,LDC,0.00746
China,Adaptation,South Asia,LDC,0.0001
Advanced,Adaptation,South Asia,EMDE,0.00095
LDC,Adaptation,Central Asia & Eastern Europe,EMDE,0.00002
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0.00229
LDC,Adaptation,Sub-Saharan Africa,LDC,0.00004
Transregional,Adaptation,Middle East & North Africa,EMDE,0.00007
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00017
China,Adaptation,Middle East & North Africa,EMDE,0.00042
EMDE,Adaptation,South Asia,EMDE,0
Advanced,Adaptation,Latin America & Caribbean,LDC,0
China,Adaptation,Sub-Saharan Africa,LDC,0.00115
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.06281
EMDE,Adaptation,Western Europe,Advanced,0.00055
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0
LDC,Adaptation,Sub-Saharan Africa,EMDE,0
LDC,Mitigation,Transregional,Advanced,0
EMDE,Mitigation,Transregional,LDC,0
EMDE,Dual benefit,Transregional,Advanced,0.00012
Advanced,Dual benefit,Transregional,EMDE,0.03093
EMDE,Mitigation,Transregional,EMDE,0.00016
Advanced,Dual benefit,Transregional,Advanced,0.0541
Transregional,Mitigation,Transregional,LDC,0
Advanced,Mitigation,Transregional,LDC,0
Advanced,Mitigation,Western Europe,Advanced,0.0411
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00069
Advanced,Mitigation,South Asia,EMDE,0.00149
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.00062
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.04245
Advanced,Mitigation,East Asia & Pacific,LDC,0.00087
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.00026
China,Mitigation,Latin America & Caribbean,EMDE,0
China,Mitigation,Sub-Saharan Africa,LDC,0.00053
China,Mitigation,South Asia,EMDE,0.00237
Advanced,Mitigation,South Asia,EMDE,0.00166
LDC,Mitigation,Middle East & North Africa,LDC,0
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.00019
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.00054
China,Mitigation,Central Asia & Eastern Europe,Advanced,0.00004
Advanced,Mitigation,South Asia,EMDE,0.0019
Advanced,Mitigation,US & Canada,Advanced,0.0115
Advanced,Mitigation,Middle East & North Africa,EMDE,0.02237
China,Mitigation,Sub-Saharan Africa,EMDE,0.00024
Advanced,Mitigation,Latin America & Caribbean,LDC,0
Advanced,Mitigation,East Asia & Pacific,LDC,0
China,Mitigation,Latin America & Caribbean,LDC,0
Transregional,Mitigation,Sub-Saharan Africa,EMDE,0
Transregional,Dual benefit,Latin America & Caribbean,EMDE,0.00011
Advanced,Mitigation,Middle East & North Africa,Advanced,0.42001
Advanced,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.10246
China,Mitigation,East Asia & Pacific,China,0.40541
Advanced,Adaptation,East Asia & Pacific,China,0.00027
Advanced,Adaptation,Middle East & North Africa,LDC,0.00223
LDC,Adaptation,Sub-Saharan Africa,LDC,0
LDC,Adaptation,Sub-Saharan Africa,LDC,0
Advanced,Adaptation,East Asia & Pacific,LDC,0.00058
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00001
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.00374
Advanced,Adaptation,South Asia,EMDE,0.02685
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.04171
China,Adaptation,East Asia & Pacific,LDC,0.00001
Advanced,Adaptation,East Asia & Pacific,LDC,0.00076
Advanced,Adaptation,Latin America & Caribbean,LDC,0.01123
Advanced,Adaptation,Latin America & Caribbean,LDC,0
Advanced,Adaptation,South Asia,LDC,0.12641
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00536
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00003
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00011
Advanced,Dual benefit,Transregional,Advanced,0.00001
Advanced,Adaptation,Transregional,EMDE,0.06625
Advanced,Adaptation,Transregional,Advanced,0
Advanced,Dual benefit,Western Europe,Advanced,0.01184
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00344
Advanced,Dual benefit,East Asia & Pacific,LDC,0.00001
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.70703
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.1636
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.0038
Advanced,Dual benefit,South Asia,EMDE,0.006
